"id","name","section","name_updated"
4510,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5472,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5561,"Juvenile Justice (Care and Protection of Children) Act, 2015","79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5009,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
4299,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5206,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
5513,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
2427,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
4773,JUVENILE JUSTICE (CARE AND PROTECTION OF CHILDREN) ACT,"79","Juvenile Justice (Care and Protection of Children) Act, 2015"
79,Prohibition of Child Marriage Act,"6","The Prohibition of Child Marriage Act, 2006"
80,Prohibition of Child Marriage Act,"5","The Prohibition of Child Marriage Act, 2006"
81,Prohibition of Child Marriage Act,"3","The Prohibition of Child Marriage Act, 2006"
1114,ADOPTION REGULATION,"51",
82,Dowry Prohibition Act,"4","Dowry Prohibition Act, 1961"
83,POCSO Act,"04","Protection of Children from Sexual Offences Act, 2012"
84,Prohibition of Child Marriage Act,"09","The Prohibition of Child Marriage Act, 2006"
85,Prohibition of Child Marriage Act,"13(1)","The Prohibition of Child Marriage Act, 2006"
87,Indian Penal Code,"427","Indian Penal Code (IPC), 1860"
88,Indian Penal Code,"354","Indian Penal Code (IPC), 1860"
94,Indian Penal Code,"364","Indian Penal Code (IPC), 1860"
632,Protection of Children,"06",Protection of Children
1616,Protection of Children,"7",Protection of Children
702,Protection of Children,"75 JJ",Protection of Children
815,Protection of Children,"6",Protection of Children
816,Protection of Children,"17",Protection of Children
840,Protection of Children,"14",Protection of Children
841,Protection of Children,"15",Protection of Children
860,Protection of Children,"10",Protection of Children
861,Protection of Children,"12",Protection of Children
899,Protection of Children,RWS12,Protection of Children
123,Protection of Children,"4",Protection of Children
212,Protection of Children,"8",Protection of Children
89,Indian Penal Code,"120B","Indian Penal Code (IPC), 1860"
90,Indian Penal Code,"447","Indian Penal Code (IPC), 1860"
91,Indian Penal Code,"426","Indian Penal Code (IPC), 1860"
96,Prohibition of Child Marriage Act,"12","The Prohibition of Child Marriage Act, 2006"
783,Adoption Regulations Act,"12(2)",
97,Indian Penal Code,"120","Indian Penal Code (IPC), 1860"
98,Indian Penal Code,"120-b","Indian Penal Code (IPC), 1860"
99,POCSO Act,"4","Protection of Children from Sexual Offences Act, 2012"
100,Prohibition of Child Marriage Act,"10","The Prohibition of Child Marriage Act, 2006"
101,Indian Penal Code,"443","Indian Penal Code (IPC), 1860"
105,INDIAN PENAL CODE,"376","Indian Penal Code (IPC), 1860"
107,INDIAN PENAL CODE,"447","Indian Penal Code (IPC), 1860"
110,INDIAN PENAL CODE,"511","Indian Penal Code (IPC), 1860"
111,INDIAN PENAL CODE,"420","Indian Penal Code (IPC), 1860"
108,INDIAN PENAL CODE,"323","Indian Penal Code (IPC), 1860"
112,Protection of Children From Sexual Offences Act,"6","Protection of Children from Sexual Offences Act, 2012"
113,INDIAN PENAL CODE,"376(3)","Indian Penal Code (IPC), 1860"
116,Indian Penal Code,"379","Indian Penal Code (IPC), 1860"
117,Prohibition of Child Marriage Act,"13","The Prohibition of Child Marriage Act, 2006"
